iter	Passed	Remaining
0	1	144
1	2	133
2	3	126
3	4	117
4	6	116
5	7	114
6	8	113
7	9	111
8	10	110
9	12	108
10	13	107
11	14	107
12	15	105
13	16	103
14	18	102
15	19	100
16	20	99
17	21	98
18	22	96
19	23	95
20	25	94
21	26	93
22	27	92
23	28	91
24	29	89
25	31	88
26	32	87
27	33	86
28	34	85
29	35	83
30	37	82
31	38	81
32	39	79
33	40	78
34	41	76
35	42	75
36	43	74
37	44	72
38	45	71
39	46	69
40	47	68
41	47	65
42	48	64
43	49	62
44	50	61
45	51	60
46	52	58
47	52	57
48	53	55
49	54	54
50	55	53
51	56	52
52	57	50
53	57	49
54	58	47
55	59	46
56	59	45
57	60	43
58	61	42
59	62	41
60	62	40
61	63	39
62	64	37
63	65	36
64	65	35
65	66	34
66	67	33
67	68	32
68	68	30
69	69	29
70	70	28
71	71	27
72	71	26
73	72	25
74	73	24
75	73	23
76	74	22
77	75	21
78	75	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	81	13
86	81	12
87	82	11
88	83	10
89	84	9
90	84	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	89	1
98	90	0
99	91	0
