iter	Passed	Remaining
0	140	140777
1	142	70963
2	143	47642
3	144	35966
4	145	28957
5	146	24319
6	147	20976
7	148	18467
8	150	16519
9	151	14960
10	152	13683
11	153	12625
12	154	11726
13	155	10958
14	156	10287
15	157	9700
16	158	9183
17	159	8721
18	160	8308
19	161	7937
20	163	7601
21	164	7296
22	165	7016
23	166	6761
24	167	6526
25	168	6308
26	169	6106
27	170	5918
28	171	5743
29	172	5581
30	173	5427
31	174	5285
32	175	5152
33	176	5026
34	177	4905
35	179	4793
36	180	4687
37	181	4583
38	182	4485
39	183	4393
40	184	4304
41	184	4218
42	185	4136
43	186	4056
44	187	3979
45	188	3906
46	189	3835
47	190	3768
48	190	3704
49	191	3641
50	192	3580
51	193	3521
52	193	3464
53	194	3409
54	195	3356
55	196	3305
56	196	3255
57	197	3208
58	198	3161
59	198	3114
60	199	3069
61	199	3025
62	200	2983
63	201	2943
64	201	2905
65	202	2867
66	203	2830
67	203	2794
68	204	2760
69	205	2726
70	205	2693
71	206	2661
72	207	2630
73	207	2600
74	208	2571
75	209	2542
76	209	2514
77	210	2487
78	211	2461
79	211	2436
80	212	2410
81	213	2386
82	213	2358
83	214	2336
84	214	2313
85	215	2291
86	216	2269
87	216	2247
88	217	2226
89	218	2206
90	218	2186
91	219	2166
92	220	2147
93	220	2128
94	221	2110
95	222	2092
96	222	2074
97	223	2057
98	224	2039
99	224	2023
100	225	2007
101	226	1991
102	226	1975
103	227	1960
104	228	1945
105	228	1930
106	229	1916
107	230	1901
108	230	1887
109	231	1873
110	232	1860
111	232	1846
112	233	1833
113	234	1820
114	234	1807
115	235	1795
116	236	1781
117	236	1770
118	237	1758
119	238	1746
120	238	1734
121	239	1722
122	239	1710
123	240	1699
124	241	1688
125	241	1678
126	242	1667
127	243	1656
128	243	1646
129	244	1636
130	245	1626
131	245	1616
132	246	1607
133	247	1597
134	247	1587
135	248	1578
136	249	1569
137	249	1560
138	250	1551
139	251	1542
140	251	1533
141	252	1523
142	252	1515
143	253	1507
144	254	1498
145	254	1490
146	255	1483
147	256	1475
148	257	1467
149	257	1460
150	258	1452
151	259	1445
152	259	1437
153	260	1430
154	261	1423
155	261	1416
156	262	1409
157	263	1402
158	263	1395
159	264	1388
160	264	1380
161	265	1374
162	266	1367
163	266	1360
164	267	1354
165	268	1347
166	269	1342
167	269	1335
168	270	1329
169	271	1323
170	271	1317
171	272	1311
172	273	1305
173	273	1299
174	274	1294
175	275	1288
176	275	1282
177	276	1276
178	277	1271
179	277	1265
180	278	1260
181	279	1254
182	279	1249
183	280	1243
184	281	1238
185	281	1233
186	282	1227
187	283	1222
188	283	1217
189	284	1212
190	285	1208
191	285	1203
192	286	1198
193	287	1193
194	288	1189
195	288	1184
196	289	1179
197	290	1174
198	290	1170
199	291	1165
200	292	1160
201	292	1156
202	293	1151
203	294	1147
204	294	1142
205	295	1138
206	296	1134
207	296	1129
208	297	1125
209	298	1121
210	298	1116
211	299	1112
212	300	1108
213	300	1104
214	301	1100
215	302	1096
216	302	1092
217	303	1088
218	304	1084
219	304	1080
220	305	1076
221	305	1072
222	306	1068
223	307	1064
224	307	1060
225	308	1057
226	309	1053
227	309	1049
228	310	1045
229	311	1042
230	311	1038
231	312	1034
232	313	1031
233	314	1028
234	314	1025
235	315	1021
236	316	1018
237	316	1014
238	317	1011
239	318	1007
240	318	1004
241	319	1000
242	320	997
243	320	994
244	321	990
245	322	987
246	322	984
247	323	981
248	324	977
249	324	974
250	325	971
251	326	968
252	326	965
253	327	962
254	328	959
255	329	956
256	329	953
257	330	950
258	331	947
259	331	944
260	332	941
261	333	938
262	333	935
263	334	932
264	335	929
265	335	926
266	336	923
267	337	920
268	337	918
269	338	915
270	339	912
271	339	909
272	340	906
273	341	904
274	341	901
275	342	898
276	343	896
277	344	893
278	344	890
279	345	888
280	346	885
281	346	882
282	347	880
283	348	877
284	348	874
285	349	872
286	350	869
287	350	866
288	351	864
289	352	861
290	352	859
291	353	856
292	354	854
293	354	851
294	355	849
295	356	846
296	356	844
297	357	841
298	358	839
299	358	837
300	359	834
301	360	832
302	360	830
303	361	827
304	362	825
305	362	822
306	363	820
307	364	818
308	364	815
309	365	813
310	366	811
311	366	808
312	367	806
313	368	804
314	368	802
315	369	799
316	370	797
317	370	795
318	371	793
319	372	791
320	372	788
